uid,organoid
AP010_066E,AP_drug
AP010_206E,AP_drug
AP010_075E,AP_drug
AP010_097F,AP_drug
AP010_107F,AP_drug
AP010_208F,AP_drug
AP010_137F,AP_drug
AP010_136F,AP_drug
AP010_145G,AP_drug
AP010_211G,AP_drug
AP010_213G,AP_drug
AP021_065B,AP_ctrl
AP021_096B,AP_ctrl
AP021_166C,AP_ctrl
AP021_180C,AP_ctrl
AP021_248D,AP_ctrl
AP021_392E,AP_ctrl
AP021_307F,AP_ctrl
AP021_344G,AP_ctrl
AP021_348G,AP_ctrl
AP021_393G,AP_ctrl
AP021_361H,AP_ctrl
AP014P_138H,AP_drug
AP014P_151I,AP_drug
AP014P_154I,AP_drug
AP026R_053A,AP_ctrl
AP026R_055C,AP_ctrl
AP026R_046G,AP_ctrl
AP026R_048G,AP_ctrl
AP026R_054G,AP_ctrl
